;trait_index;trait_subindex;Ochos;Arcy;La Naulette;Malarnaud;Podbaby;Tilbury;Sligo;Spy I;Spy II;Krapina piece 1; Krapina piece 2;Krapina;Krapina A;Krapina B;Krapina C;Krapina D;Krapina E;Krapina F;Krapina G;Krapina H;Krapina I;Neandertal;Gibraltar;Pithecanthropus;Kannstatt;Galey Hill;Brunn;Brux;Egisheim;Nowosiolka;trait_name_pl;trait_name_de_Czekanowskis_TabelleI;Czekanowskis_trait_index_TabelleI;trait_name_eng;units;p25_similarity_table_x_column;p25_similarity_table_trait_index;components_index_variable;dependent_index_variable
trait_min;XXXI;5;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;Szczeka gorna grubosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;5;;;;;;;;;;;;11.3;;;;;;;;;;;;;;;;;;;Szczeka gorna grubosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Szczeka gorna grubosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;6;;;;;;;;;;;;11.35;;;;;;;;;;;;;;;;;;;Szczeka gorna grubosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;6;;;;;;;;;;;;11.4;;;;;;;;;;;;;;;;;;;Szczeka gorna grubosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;Szczeka gorna grubosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;7;;;;;;;;;;;;12.5;;;;;;;;;;;;;;;;;;;Szczeka gorna grubosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;7;;;;;;;;;;;;13.35;;;;;;;;;;;;;;;;;;;Szczeka gorna grubosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka gorna grubosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;8;;;;;;;;;;;;11.2;;;;;;;;;;;;;;;;;;12;Szczeka gorna grubosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;8;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;12.5;Szczeka gorna grubosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;9;;;;;;;;;;;;10.1;;;;;;;;;;;;;;;;;;10;Szczeka gorna wysokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka gorna wysokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka gorna wysokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;Szczeka gorna wysokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;10;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;Szczeka gorna wysokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;10;;;;;;;;;;;;10.1;;;;;;;;;;;;;;;;;;;Szczeka gorna wysokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka gorna wysokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.5;Szczeka gorna wysokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;Szczeka gorna wysokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;Szczeka gorna wysokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka gorna wysokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka gorna wysokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;Szczeka dolna szerokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;13;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;Szczeka dolna szerokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;13;;;;;;;;;;;;8.4;;;;;;;;;;;;;;;;;;;Szczeka dolnaszerokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.1;Szczeka dolna szerokosc korony zab P;;;;mm;2;47;FALSE;FALSE
